Code;Identification;Code de l'instrument lié;Ident. de l'instrument lié;Valeur nominale;Unité;Désignation;Type de relation;Commentaire;Étalonné;Groupe;N° de voie
PLAST-60;CFEP0128;PLAST-60;CLAB0068;;;;;;1;/;
PLAST-60;CFEP0128;PLAST-60;CLAB0078;;;;;;1;/;
PLAST-60;CFEP0140;PLAST-60;CLAB0150;;;;;;1;/;
PLAST-60;CFEP0140;PLAST-60;CLAB0152;;;;;;1;/;
PLAST-60;CFEP0142;PLAST-60;CLAB0145;;;;;;1;/;
PLAST-60;CFEP0142;PLAST-60;CLAB0167;;;;;;1;/;
PLAST-60;CFEP0143;PLAST-60;CLAB0167;;;;;;1;/;
PLAST-60;CFEP0143;PLAST-60;CLAB1022;;;;;;1;/;
PLAST-60;CFEP0144;PLAST-60;CLAB0243;;;;;;1;/;
PLAST-60;CFEP0145;PLAST-60;CLAB0243;;;;;;1;/;
PLAST-60;CFEP0150;PLAST-60;CLAB0251;;;;;;1;/;
PLAST-60;CFEP0150;PLAST-60;CLAB1018;;;;;;1;/;
PLAST-60;CFEP0153;PLAST-60;CLAB0062;;;;;;1;/;
PLAST-60;CFEP0153;PLAST-60;CLAB0086;;;;;;1;/;
PLAST-60;CFEP0154;PLAST-60;CLAB0062;;;;;;1;/;
PLAST-60;CFEP0154;PLAST-60;CLAB0086;;;;;;1;/;
PLAST-60;CFEP0155;PLAST-60;CLAB0062;;;;;;1;/;
PLAST-60;CFEP0155;PLAST-60;CLAB0086;;;;;;1;/;
PLAST-60;CFEP0157;PLAST-60;CLAB0076;;;;;;1;/;
PLAST-60;CFEP0157;PLAST-60;CLAB0150;;;;;;1;/;
PLAST-60;CFEP0158;PLAST-60;CLAB0076;;;;;;1;/;
PLAST-60;CFEP0158;PLAST-60;CLAB0150;;;;;;1;/;
PLAST-60;CFEP0159;PLAST-60;CLAB0145;;;;;;1;/;
PLAST-60;CFEP0159;PLAST-60;CLAB0283;;;;;;1;/;
PLAST-60;CFEP0160;PLAST-60;CLAB0283;;;;;;1;/;
PLAST-60;CFEP0160;PLAST-60;CLAB1022;;;;;;1;/;
PLAST-60;CFEP0161;PLAST-60;CLAB0283;;;;;;1;/;
PLAST-60;CFEP0161;PLAST-60;CLAB1022;;;;;;1;/;
PLAST-60;CFEP0162;PLAST-60;CLAB0338;;;;;;1;/;
PLAST-60;CFEP0162;PLAST-60;CLAB0357;;;;;;1;/;
PLAST-60;CFEP0163;PLAST-60;CLAB0338;;;;;;1;/;
PLAST-60;CFEP0163;PLAST-60;CLAB0357;;;;;;1;/;
PLAST-60;CFEP0164;PLAST-60;CLAB0123;;;;;;1;/;
PLAST-60;CFEP0164;PLAST-60;CLAB0140;;;;;;1;/;
PLAST-60;CFEP0183;PLAST-60;CLAB0077;;;;;;1;/;
